Estación	Cod. Pluvio	Fecha	[mm]
Pueblo Biassini	1232	1/1/2016	0.0
Pueblo Biassini	1232	1/2/2016	0.0
Pueblo Biassini	1232	1/3/2016	0.0
Pueblo Biassini	1232	1/4/2016	15.0
Pueblo Biassini	1232	1/5/2016	0.0
Pueblo Biassini	1232	1/6/2016	0.0
Pueblo Biassini	1232	1/7/2016	0.0
Pueblo Biassini	1232	1/8/2016	0.0
Pueblo Biassini	1232	1/9/2016	0.0
Pueblo Biassini	1232	1/10/2016	0.0
Pueblo Biassini	1232	1/11/2016	0.0
Pueblo Biassini	1232	1/12/2016	2.0
Pueblo Biassini	1232	1/13/2016	0.0
Pueblo Biassini	1232	1/14/2016	0.0
Pueblo Biassini	1232	1/15/2016	0.0
Pueblo Biassini	1232	1/16/2016	0.0
Pueblo Biassini	1232	1/17/2016	0.0
Pueblo Biassini	1232	1/18/2016	0.0
Pueblo Biassini	1232	1/19/2016	0.0
Pueblo Biassini	1232	1/20/2016	0.0
Pueblo Biassini	1232	1/21/2016	0.0
Pueblo Biassini	1232	1/22/2016	0.0
Pueblo Biassini	1232	1/23/2016	0.0
Pueblo Biassini	1232	1/24/2016	0.0
Pueblo Biassini	1232	1/25/2016	7.0
Pueblo Biassini	1232	1/26/2016	0.0
Pueblo Biassini	1232	1/27/2016	0.0
Pueblo Biassini	1232	1/28/2016	0.0
Pueblo Biassini	1232	1/29/2016	0.0
Pueblo Biassini	1232	1/30/2016	0.0
Pueblo Biassini	1232	1/31/2016	0.0
Pueblo Biassini	1232	2/1/2016	0.0
Pueblo Biassini	1232	2/2/2016	0.0
Pueblo Biassini	1232	2/3/2016	0.0
Pueblo Biassini	1232	2/4/2016	0.0
Pueblo Biassini	1232	2/5/2016	0.0
Pueblo Biassini	1232	2/6/2016	0.0
Pueblo Biassini	1232	2/7/2016	0.0
Pueblo Biassini	1232	2/8/2016	15.0
Pueblo Biassini	1232	2/9/2016	0.0
