Estación	Cod. Pluvio	Fecha	[mm]
Colonia Itapebí	1257	1/1/2016	0.0
Colonia Itapebí	1257	2/1/2016	0.0
Colonia Itapebí	1257	3/1/2016	0.0
Colonia Itapebí	1257	4/1/2016	60.0
Colonia Itapebí	1257	5/1/2016	8.0
Colonia Itapebí	1257	6/1/2016	0.0
Colonia Itapebí	1257	7/1/2016	0.0
Colonia Itapebí	1257	8/1/2016	0.0
Colonia Itapebí	1257	9/1/2016	0.0
Colonia Itapebí	1257	10/1/2016	0.0
Colonia Itapebí	1257	11/1/2016	0.0
Colonia Itapebí	1257	12/1/2016	5.0
Colonia Itapebí	1257	13/1/2016	0.0
Colonia Itapebí	1257	14/1/2016	0.0
Colonia Itapebí	1257	15/1/2016	0.0
Colonia Itapebí	1257	16/1/2016	0.0
Colonia Itapebí	1257	17/1/2016	0.0
Colonia Itapebí	1257	18/1/2016	0.0
Colonia Itapebí	1257	19/1/2016	0.0
Colonia Itapebí	1257	20/1/2016	0.0
Colonia Itapebí	1257	21/1/2016	0.0
Colonia Itapebí	1257	22/1/2016	0.0
Colonia Itapebí	1257	23/1/2016	0.0
Colonia Itapebí	1257	24/1/2016	0.0
Colonia Itapebí	1257	25/1/2016	
Colonia Itapebí	1257	26/1/2016	0.0
Colonia Itapebí	1257	27/1/2016	0.0
Colonia Itapebí	1257	28/1/2016	0.0
Colonia Itapebí	1257	29/1/2016	0.0
Colonia Itapebí	1257	30/1/2016	0.0
Colonia Itapebí	1257	31/1/2016	0.0
Colonia Itapebí	1257	1/2/2016	0.0
Colonia Itapebí	1257	2/2/2016	0.0
Colonia Itapebí	1257	3/2/2016	0.0
Colonia Itapebí	1257	4/2/2016	0.0
Colonia Itapebí	1257	5/2/2016	0.0
Colonia Itapebí	1257	6/2/2016	0.0
Colonia Itapebí	1257	7/2/2016	0.0
Colonia Itapebí	1257	8/2/2016	20.0
Colonia Itapebí	1257	9/2/2016	0.0
Colonia Itapebí	1257	10/2/2016	0.0
Colonia Itapebí	1257	11/2/2016	0.0
Colonia Itapebí	1257	12/2/2016	0.0
Colonia Itapebí	1257	13/2/2016	43.0
Colonia Itapebí	1257	14/2/2016	0.0
Colonia Itapebí	1257	15/2/2016	2.0
Colonia Itapebí	1257	16/2/2016	0.0
Colonia Itapebí	1257	17/2/2016	28.0
Colonia Itapebí	1257	18/2/2016	0.0
Colonia Itapebí	1257	19/2/2016	44.0
Colonia Itapebí	1257	20/2/2016	0.0
Colonia Itapebí	1257	21/2/2016	0.0
Colonia Itapebí	1257	22/2/2016	0.0
Colonia Itapebí	1257	23/2/2016	0.0
Colonia Itapebí	1257	24/2/2016	0.0
Colonia Itapebí	1257	25/2/2016	0.0
Colonia Itapebí	1257	26/2/2016	20.0
Colonia Itapebí	1257	27/2/2016	0.0
Colonia Itapebí	1257	28/2/2016	0.0
Colonia Itapebí	1257	29/2/2016	0.0
Colonia Itapebí	1257	1/3/2016	
Colonia Itapebí	1257	2/3/2016	0.0
Colonia Itapebí	1257	3/3/2016	0.0
Colonia Itapebí	1257	4/3/2016	0.0
Colonia Itapebí	1257	5/3/2016	0.0
Colonia Itapebí	1257	6/3/2016	0.0
Colonia Itapebí	1257	7/3/2016	0.0
Colonia Itapebí	1257	8/3/2016	0.0
Colonia Itapebí	1257	9/3/2016	0.0
Colonia Itapebí	1257	10/3/2016	0.0
Colonia Itapebí	1257	11/3/2016	0.0
Colonia Itapebí	1257	12/3/2016	0.0
Colonia Itapebí	1257	13/3/2016	0.0
Colonia Itapebí	1257	14/3/2016	0.0
Colonia Itapebí	1257	15/3/2016	0.0
Colonia Itapebí	1257	16/3/2016	0.0
Colonia Itapebí	1257	17/3/2016	0.0
Colonia Itapebí	1257	18/3/2016	17.0
Colonia Itapebí	1257	19/3/2016	4.0
Colonia Itapebí	1257	20/3/2016	28.0
Colonia Itapebí	1257	21/3/2016	0.0
Colonia Itapebí	1257	22/3/2016	0.0
