Estación	Cod. Pluvio	Fecha	[mm]
Laureles_sa	1321	1/1/2016	0.0
Laureles_sa	1321	2/1/2016	0.0
Laureles_sa	1321	3/1/2016	0.0
Laureles_sa	1321	4/1/2016	16.0
Laureles_sa	1321	5/1/2016	
Laureles_sa	1321	6/1/2016	0.0
Laureles_sa	1321	7/1/2016	0.0
Laureles_sa	1321	8/1/2016	0.0
Laureles_sa	1321	9/1/2016	0.0
Laureles_sa	1321	10/1/2016	0.0
Laureles_sa	1321	11/1/2016	0.0
Laureles_sa	1321	12/1/2016	19.0
Laureles_sa	1321	13/1/2016	0.0
Laureles_sa	1321	14/1/2016	0.0
Laureles_sa	1321	15/1/2016	0.0
Laureles_sa	1321	16/1/2016	0.0
Laureles_sa	1321	17/1/2016	0.0
Laureles_sa	1321	18/1/2016	0.0
Laureles_sa	1321	19/1/2016	0.0
Laureles_sa	1321	20/1/2016	0.0
Laureles_sa	1321	21/1/2016	0.0
Laureles_sa	1321	22/1/2016	0.0
Laureles_sa	1321	23/1/2016	0.0
Laureles_sa	1321	24/1/2016	0.0
Laureles_sa	1321	25/1/2016	5.0
Laureles_sa	1321	26/1/2016	0.0
Laureles_sa	1321	27/1/2016	0.0
Laureles_sa	1321	28/1/2016	0.0
Laureles_sa	1321	29/1/2016	19.0
Laureles_sa	1321	30/1/2016	0.0
Laureles_sa	1321	31/1/2016	0.0
Laureles_sa	1321	1/2/2016	0.0
Laureles_sa	1321	2/2/2016	0.0
Laureles_sa	1321	3/2/2016	0.0
Laureles_sa	1321	4/2/2016	0.0
Laureles_sa	1321	5/2/2016	0.0
Laureles_sa	1321	6/2/2016	0.0
Laureles_sa	1321	7/2/2016	0.0
Laureles_sa	1321	8/2/2016	30.0
Laureles_sa	1321	9/2/2016	0.0
Laureles_sa	1321	10/2/2016	0.0
Laureles_sa	1321	11/2/2016	0.0
Laureles_sa	1321	12/2/2016	0.0
Laureles_sa	1321	13/2/2016	70.0
Laureles_sa	1321	14/2/2016	0.0
Laureles_sa	1321	15/2/2016	
Laureles_sa	1321	16/2/2016	0.0
Laureles_sa	1321	17/2/2016	45.0
Laureles_sa	1321	18/2/2016	0.0
Laureles_sa	1321	19/2/2016	75.0
Laureles_sa	1321	20/2/2016	0.0
Laureles_sa	1321	21/2/2016	0.0
Laureles_sa	1321	22/2/2016	0.0
Laureles_sa	1321	23/2/2016	0.0
Laureles_sa	1321	24/2/2016	0.0
Laureles_sa	1321	25/2/2016	0.0
Laureles_sa	1321	26/2/2016	43.0
Laureles_sa	1321	27/2/2016	0.0
Laureles_sa	1321	28/2/2016	0.0
Laureles_sa	1321	29/2/2016	0.0
Laureles_sa	1321	1/3/2016	0.0
Laureles_sa	1321	2/3/2016	0.0
Laureles_sa	1321	3/3/2016	0.0
Laureles_sa	1321	4/3/2016	0.0
Laureles_sa	1321	5/3/2016	0.0
Laureles_sa	1321	6/3/2016	0.0
Laureles_sa	1321	7/3/2016	0.0
Laureles_sa	1321	8/3/2016	0.0
Laureles_sa	1321	9/3/2016	0.0
Laureles_sa	1321	10/3/2016	0.0
Laureles_sa	1321	11/3/2016	0.0
Laureles_sa	1321	12/3/2016	0.0
Laureles_sa	1321	13/3/2016	0.0
Laureles_sa	1321	14/3/2016	0.0
Laureles_sa	1321	15/3/2016	0.0
Laureles_sa	1321	16/3/2016	0.0
Laureles_sa	1321	17/3/2016	0.0
Laureles_sa	1321	18/3/2016	27.0
Laureles_sa	1321	19/3/2016	16.0
Laureles_sa	1321	20/3/2016	16.0
Laureles_sa	1321	21/3/2016	0.0
Laureles_sa	1321	22/3/2016	0.0
Laureles_sa	1321	23/3/2016	0.0
Laureles_sa	1321	24/3/2016	0.0
Laureles_sa	1321	25/3/2016	
Laureles_sa	1321	26/3/2016	10.0
Laureles_sa	1321	27/3/2016	0.0
Laureles_sa	1321	28/3/2016	0.0
Laureles_sa	1321	29/3/2016	0.0
Laureles_sa	1321	30/3/2016	0.0
Laureles_sa	1321	31/3/2016	0.0
Laureles_sa	1321	1/4/2016	25.0
Laureles_sa	1321	2/4/2016	20.0
Laureles_sa	1321	3/4/2016	0.0
Laureles_sa	1321	4/4/2016	90.0
Laureles_sa	1321	5/4/2016	100.0
Laureles_sa	1321	6/4/2016	5.0
Laureles_sa	1321	7/4/2016	23.0
Laureles_sa	1321	8/4/2016	25.0
Laureles_sa	1321	9/4/2016	33.0
Laureles_sa	1321	10/4/2016	6.0
Laureles_sa	1321	11/4/2016	12.0
Laureles_sa	1321	12/4/2016	19.0
Laureles_sa	1321	13/4/2016	8.0
Laureles_sa	1321	14/4/2016	0.0
Laureles_sa	1321	15/4/2016	0.0
Laureles_sa	1321	16/4/2016	
Laureles_sa	1321	17/4/2016	24.0
Laureles_sa	1321	18/4/2016	96.0
Laureles_sa	1321	19/4/2016	19.0
Laureles_sa	1321	20/4/2016	78.0
Laureles_sa	1321	21/4/2016	0.0
Laureles_sa	1321	22/4/2016	
Laureles_sa	1321	23/4/2016	8.0
Laureles_sa	1321	24/4/2016	
Laureles_sa	1321	25/4/2016	2.0
Laureles_sa	1321	26/4/2016	0.0
Laureles_sa	1321	27/4/2016	0.0
Laureles_sa	1321	28/4/2016	0.0
Laureles_sa	1321	29/4/2016	0.0
Laureles_sa	1321	30/4/2016	0.0
Laureles_sa	1321	1/5/2016	0.0
Laureles_sa	1321	2/5/2016	0.0
Laureles_sa	1321	3/5/2016	0.0
Laureles_sa	1321	4/5/2016	0.0
Laureles_sa	1321	5/5/2016	0.0
Laureles_sa	1321	6/5/2016	0.0
Laureles_sa	1321	7/5/2016	0.0
Laureles_sa	1321	8/5/2016	0.0
Laureles_sa	1321	9/5/2016	0.0
Laureles_sa	1321	10/5/2016	0.0
Laureles_sa	1321	11/5/2016	0.0
Laureles_sa	1321	12/5/2016	0.0
Laureles_sa	1321	13/5/2016	0.0
Laureles_sa	1321	14/5/2016	67.0
Laureles_sa	1321	15/5/2016	1.0
Laureles_sa	1321	16/5/2016	0.0
Laureles_sa	1321	17/5/2016	0.0
Laureles_sa	1321	18/5/2016	0.0
Laureles_sa	1321	19/5/2016	0.0
Laureles_sa	1321	20/5/2016	0.0
Laureles_sa	1321	21/5/2016	0.0
Laureles_sa	1321	22/5/2016	0.0
Laureles_sa	1321	23/5/2016	0.0
Laureles_sa	1321	24/5/2016	0.0
Laureles_sa	1321	25/5/2016	0.0
Laureles_sa	1321	26/5/2016	0.0
Laureles_sa	1321	27/5/2016	0.0
Laureles_sa	1321	28/5/2016	5.0
Laureles_sa	1321	29/5/2016	
Laureles_sa	1321	30/5/2016	16.0
Laureles_sa	1321	31/5/2016	0.0
Laureles_sa	1321	1/6/2016	0.0
Laureles_sa	1321	2/6/2016	0.0
Laureles_sa	1321	3/6/2016	0.0
Laureles_sa	1321	4/6/2016	0.0
Laureles_sa	1321	5/6/2016	0.0
Laureles_sa	1321	6/6/2016	0.0
Laureles_sa	1321	7/6/2016	0.0
Laureles_sa	1321	8/6/2016	0.0
Laureles_sa	1321	9/6/2016	0.0
