Estación	Cod. Pluvio	Fecha	[mm]
Palomas	1176	1/1/2016	0.0
Palomas	1176	2/1/2016	0.0
Palomas	1176	3/1/2016	0.0
Palomas	1176	4/1/2016	51.0
Palomas	1176	5/1/2016	3.0
Palomas	1176	6/1/2016	0.0
Palomas	1176	7/1/2016	0.0
Palomas	1176	8/1/2016	0.0
Palomas	1176	9/1/2016	0.0
Palomas	1176	10/1/2016	0.0
Palomas	1176	11/1/2016	0.0
Palomas	1176	12/1/2016	7.0
Palomas	1176	13/1/2016	0.0
Palomas	1176	14/1/2016	0.0
Palomas	1176	15/1/2016	0.0
Palomas	1176	16/1/2016	0.0
Palomas	1176	17/1/2016	0.0
Palomas	1176	18/1/2016	0.0
Palomas	1176	19/1/2016	0.0
Palomas	1176	20/1/2016	0.0
Palomas	1176	21/1/2016	0.0
Palomas	1176	22/1/2016	0.0
Palomas	1176	23/1/2016	0.0
Palomas	1176	24/1/2016	0.0
Palomas	1176	25/1/2016	13.0
Palomas	1176	26/1/2016	0.0
Palomas	1176	27/1/2016	0.0
Palomas	1176	28/1/2016	0.0
Palomas	1176	29/1/2016	0.0
Palomas	1176	30/1/2016	0.0
Palomas	1176	31/1/2016	0.0
Palomas	1176	1/2/2016	0.0
Palomas	1176	2/2/2016	0.0
Palomas	1176	3/2/2016	0.0
Palomas	1176	4/2/2016	0.0
Palomas	1176	5/2/2016	0.0
Palomas	1176	6/2/2016	0.0
Palomas	1176	7/2/2016	0.0
Palomas	1176	8/2/2016	33.0
Palomas	1176	9/2/2016	0.0
Palomas	1176	10/2/2016	0.0
Palomas	1176	11/2/2016	0.0
Palomas	1176	12/2/2016	0.0
Palomas	1176	13/2/2016	49.0
Palomas	1176	14/2/2016	0.0
Palomas	1176	15/2/2016	14.0
Palomas	1176	16/2/2016	0.0
Palomas	1176	17/2/2016	40.0
Palomas	1176	18/2/2016	0.0
Palomas	1176	19/2/2016	56.0
Palomas	1176	20/2/2016	0.0
Palomas	1176	21/2/2016	0.0
Palomas	1176	22/2/2016	0.0
Palomas	1176	23/2/2016	0.0
Palomas	1176	24/2/2016	0.0
Palomas	1176	25/2/2016	0.0
Palomas	1176	26/2/2016	17.0
Palomas	1176	27/2/2016	0.0
Palomas	1176	28/2/2016	0.0
Palomas	1176	29/2/2016	0.0
Palomas	1176	1/3/2016	0.0
Palomas	1176	2/3/2016	0.0
Palomas	1176	3/3/2016	0.0
Palomas	1176	4/3/2016	0.0
Palomas	1176	5/3/2016	4.0
Palomas	1176	6/3/2016	0.0
Palomas	1176	7/3/2016	0.0
Palomas	1176	8/3/2016	0.0
Palomas	1176	9/3/2016	0.0
Palomas	1176	10/3/2016	0.0
Palomas	1176	11/3/2016	0.0
Palomas	1176	12/3/2016	0.0
Palomas	1176	13/3/2016	0.0
Palomas	1176	14/3/2016	0.0
Palomas	1176	15/3/2016	0.0
Palomas	1176	16/3/2016	0.0
Palomas	1176	17/3/2016	0.0
Palomas	1176	18/3/2016	28.0
Palomas	1176	19/3/2016	
Palomas	1176	20/3/2016	32.0
Palomas	1176	21/3/2016	0.0
Palomas	1176	22/3/2016	0.0
Palomas	1176	23/3/2016	0.0
Palomas	1176	24/3/2016	0.0
Palomas	1176	25/3/2016	
Palomas	1176	26/3/2016	
Palomas	1176	27/3/2016	0.0
Palomas	1176	28/3/2016	0.0
Palomas	1176	29/3/2016	0.0
Palomas	1176	30/3/2016	0.0
Palomas	1176	31/3/2016	0.0
Palomas	1176	1/4/2016	9.0
Palomas	1176	2/4/2016	29.0
Palomas	1176	3/4/2016	0.0
Palomas	1176	4/4/2016	154.0
Palomas	1176	5/4/2016	66.0
Palomas	1176	6/4/2016	56.0
Palomas	1176	7/4/2016	56.0
Palomas	1176	8/4/2016	3.0
Palomas	1176	9/4/2016	10.0
Palomas	1176	10/4/2016	3.0
Palomas	1176	11/4/2016	
Palomas	1176	12/4/2016	35.0
Palomas	1176	13/4/2016	1.0
Palomas	1176	14/4/2016	0.0
Palomas	1176	15/4/2016	0.0
Palomas	1176	16/4/2016	16.0
Palomas	1176	17/4/2016	32.0
Palomas	1176	18/4/2016	63.0
Palomas	1176	19/4/2016	54.0
Palomas	1176	20/4/2016	81.0
Palomas	1176	21/4/2016	0.0
Palomas	1176	22/4/2016	1.0
Palomas	1176	23/4/2016	22.0
Palomas	1176	24/4/2016	
Palomas	1176	25/4/2016	29.0
Palomas	1176	26/4/2016	0.0
Palomas	1176	27/4/2016	0.0
Palomas	1176	28/4/2016	0.0
Palomas	1176	29/4/2016	0.0
Palomas	1176	30/4/2016	0.0
Palomas	1176	1/5/2016	0.0
Palomas	1176	2/5/2016	0.0
Palomas	1176	3/5/2016	0.0
Palomas	1176	4/5/2016	0.0
Palomas	1176	5/5/2016	0.0
Palomas	1176	6/5/2016	0.0
Palomas	1176	7/5/2016	0.0
Palomas	1176	8/5/2016	0.0
Palomas	1176	9/5/2016	0.0
Palomas	1176	10/5/2016	0.0
Palomas	1176	11/5/2016	0.0
Palomas	1176	12/5/2016	0.0
Palomas	1176	13/5/2016	0.0
Palomas	1176	14/5/2016	49.0
Palomas	1176	15/5/2016	
Palomas	1176	16/5/2016	0.0
Palomas	1176	17/5/2016	0.0
Palomas	1176	18/5/2016	0.0
Palomas	1176	19/5/2016	0.0
Palomas	1176	20/5/2016	0.0
Palomas	1176	21/5/2016	0.0
Palomas	1176	22/5/2016	0.0
Palomas	1176	23/5/2016	0.0
Palomas	1176	24/5/2016	0.0
Palomas	1176	25/5/2016	0.0
Palomas	1176	26/5/2016	0.0
Palomas	1176	27/5/2016	0.0
Palomas	1176	28/5/2016	6.0
Palomas	1176	29/5/2016	3.0
Palomas	1176	30/5/2016	12.0
Palomas	1176	31/5/2016	0.0
Palomas	1176	1/6/2016	0.0
Palomas	1176	2/6/2016	0.0
Palomas	1176	3/6/2016	0.0
Palomas	1176	4/6/2016	0.0
Palomas	1176	5/6/2016	0.0
Palomas	1176	6/6/2016	0.0
Palomas	1176	7/6/2016	0.0
Palomas	1176	8/6/2016	0.0
Palomas	1176	9/6/2016	0.0
Palomas	1176	10/6/2016	0.0
Palomas	1176	11/6/2016	0.0
Palomas	1176	12/6/2016	0.0
Palomas	1176	13/6/2016	0.0
Palomas	1176	14/6/2016	0.0
Palomas	1176	15/6/2016	0.0
Palomas	1176	16/6/2016	0.0
Palomas	1176	17/6/2016	0.0
Palomas	1176	18/6/2016	0.0
Palomas	1176	19/6/2016	0.0
Palomas	1176	20/6/2016	0.0
Palomas	1176	21/6/2016	0.0
Palomas	1176	22/6/2016	0.0
Palomas	1176	23/6/2016	0.0
Palomas	1176	24/6/2016	0.0
Palomas	1176	25/6/2016	
Palomas	1176	26/6/2016	85.0
Palomas	1176	27/6/2016	27.0
Palomas	1176	28/6/2016	0.0
Palomas	1176	29/6/2016	0.0
Palomas	1176	30/6/2016	0.0
Palomas	1176	1/7/2016	0.0
Palomas	1176	2/7/2016	0.0
Palomas	1176	3/7/2016	0.0
Palomas	1176	4/7/2016	14.0
Palomas	1176	5/7/2016	37.0
Palomas	1176	6/7/2016	0.0
Palomas	1176	7/7/2016	0.0
Palomas	1176	8/7/2016	0.0
Palomas	1176	9/7/2016	11.0
Palomas	1176	10/7/2016	0.0
Palomas	1176	11/7/2016	2.0
Palomas	1176	12/7/2016	0.0
