FECHA,Temp prom,TEMP.min,TEMP.MAX,Humedad  Max,Humedad min,mm,Int. Max mm/hr,ET (mm),Presion,Rad Solar,Prom,Max
12/9/2005,19.85,17.1,22.6,89,69,0.2,0,1.46,1012,6915,8,31
12/10/2005,20.25,15.8,24.7,93,29,0,0,6.46,1016,33730,12,40
12/11/2005,18.15,10.2,26.1,84,27,0,0,7.11,1016,36005,10,42
12/12/2005,21.25,13.6,28.9,84,29,14,0,6.97,1013,35315,7,29
12/13/2005,23.4,16.3,30.5,92,32,0,0,7.54,1011,34936,12,35
12/14/2005,24.3,17.3,31.3,84,30,0,0,7.04,1010,32564,11,32
12/15/2005,25.8,18.8,32.8,83,29,0,0,6.61,1006,32788,6,24
12/16/2005,24.55,20.4,28.7,87,51,0,0,3.74,1004,14519,7,34
12/17/2005,23.95,17.2,30.7,95,32,0,0,6.57,1006,32237,7,32
12/18/2005,24.4,16.1,32.7,83,30,0,0,7.99,1006,31928,12,40
12/19/2005,23.15,17.4,28.9,78,21,0,0,6.58,1009,25819,12,39
12/20/2005,22.15,13.6,30.7,87,20,0,0,7.02,1012,34085,6,26
12/21/2005,24.2,15.3,33.1,76,17,0,0,8.41,1011,33113,11,40
12/22/2005,26.05,16.2,35.9,74,21,0,0,7.9,1008,33112,7,29
12/23/2005,27.9,22.7,33.1,77,37,0,0,5.69,1006,17584,11,40
12/24/2005,22.95,16.3,29.6,87,19,0,0,8.73,1014,35572,13,39
12/25/2005,21.3,12.9,29.7,80,16,0,0,7.79,1017,35906,8,37
12/26/2005,23.8,14.8,32.8,77,13,0,0,7.96,1015,34206,7,32
12/27/2005,24.4,15.4,33.4,71,12,0,0,8.83,1011,34089,11,37
12/28/2005,26.8,17.8,35.8,78,24,0,0,7.49,1009,33993,9,35
12/29/2005,29.1,21.6,36.6,64,19,0,0,8.13,1006,32784,8,29
12/30/2005,29.25,22.5,36,0,0,0,0,0,0,0,0,0
12/31/2005,29,23,35,0,0,0,0,0,0,0,0,0
1/1/2006,29.25,24.5,34,0,0,0,0,0,0,0,0,0
1/2/2006,27.8,20.4,35.2,80,16,0,0,7.16,1008,33433,7,26
1/3/2006,27.35,20.3,34.4,74,27,0,0,6.2,1009,27601,6,34
1/4/2006,25.4,17.6,33.2,83,19,0,0,7.4,1008,32033,8,26
1/5/2006,24.95,15.8,34.1,69,18,0,0,7.14,1007,31287,6,26
1/6/2006,27.65,18.4,36.9,73,20,0,0,7.97,1007,32348,8,31
1/7/2006,29.6,19.8,39.4,79,19,0,0,10.85,1006,30832,14,47
1/8/2006,32.3,24,40.6,73,21,0,0,8.38,1004,29245,17,48
1/9/2006,31.75,23.2,40.3,68,25,0,0,11.39,1005,30978,22,47
1/10/2006,32.4,24.4,40.4,79,25,0,0,7.36,1006,26588,15,48
1/11/2006,30.5,24.7,36.3,78,33,0,0,12,1010,16271,16,50
1/12/2006,30.6,22.1,39.1,92,28,13.8,51,6.76,1009,23838,16,71
1/13/2006,27.15,21.6,32.7,96,53,57.8,80.6,3.19,1012,16253,12,53
1/14/2006,29.3,23.7,34.9,94,43,4.8,16,6.46,1010,27322,13,34
1/15/2006,30.35,24.4,36.3,88,40,0,0,7.47,1006,30876,12,37
1/16/2006,24.4,19.6,29.2,91,63,7.6,29.6,2.39,1011,8488,14,45
1/17/2006,21.05,14.7,27.4,83,21,0,0,7.41,1019,34627,9,42
1/18/2006,20.55,12.4,28.7,89,31,0,0,6.9,1015,33861,9,34
1/19/2006,23.1,16.8,29.4,91,49,0,0,4.5,1008,22978,5,21
1/20/2006,26.85,20.3,33.4,93,42,0,0,4.88,1006,24527,6,26
1/21/2006,25.4,20.1,30.7,92,41,0,0,5.31,1010,25411,7,31
1/22/2006,24.4,18.7,30.1,89,43,0,0,5.16,1011,24463,7,27
1/23/2006,26.4,21.6,31.2,87,46,0,0,5.74,1008,25596,10,31
1/24/2006,26.85,20.9,32.8,91,42,0,0,5.88,1005,29536,9,32
1/25/2006,24.25,18.8,29.7,93,45,11.2,104.8,6.32,1008,27778,14,44
1/26/2006,23.95,17.6,30.3,93,28,0,0,6.02,1014,32152,8,29
1/27/2006,23.85,15.8,31.9,82,33,0,0,6.35,1013,63047,7,29
1/28/2006,26.95,19,34.9,84,27,0,0,5.97,1011,31156,4,29
1/29/2006,28.4,20.2,36.6,82,25,0,0,6.91,1007,31228,6,23
1/30/2006,28.2,20.1,36.3,82,25,0,0,6.33,1007,26332,6,32
1/31/2006,25.35,16.5,34.2,88,22,0,0,6.87,1011,31344,10,35
2/1/2006,26.15,17.6,34.7,83,27,0,0,6.23,1010,26629,8,27
2/2/2006,28.6,19.3,37.9,82,22,0,0,7.48,1008,29136,10,35
2/3/2006,26.1,23.1,29.1,77,52,0,0,4.27,1007,14544,10,40
2/4/2006,23,20.6,25.4,94,72,13.2,9.4,1.08,1006,1894,8,42
2/5/2006,26.25,19.8,32.7,96,53,0,,4.32,1005,23848,5,34
2/6/2006,26,21.5,30.5,89,28,0,,6.88,1007,28604,9,32
2/7/2006,23.3,16.6,30,77,26,0,,6.87,1008,31338,6,27
2/8/2006,25.1,19,31.2,75,27,0,,6.23,1009,28423,6,24
2/9/2006,24.25,17.1,31.4,81,25,0,,7.37,1013,31115,9,34
2/10/2006,22.95,14.8,31.1,88,27,0,,6.12,1016,27903,8,24
2/11/2006,22.9,15.8,30,88,26,0,,5.92,1014,28255,6,27
2/12/2006,23.45,16.1,30.8,84,27,0,,6.45,1012,28516,7,32
2/13/2006,23.7,16.8,30.6,88,22,0,,6.77,1014,29266,7,32
2/14/2006,25.05,16,34.1,77,21,0,,7.26,1012,28343,7,39
2/15/2006,27.05,18.9,35.2,76,22,0,,6.66,1009,25456,8,32
2/16/2006,28.1,21.4,34.8,86,34,0,,5.07,1008,19245,9,40
2/17/2006,26.75,18.6,34.9,89,27,0,,6,1010,28003,4,21
2/18/2006,29.3,22.1,36.5,80,21,0,,6.95,1010,28054,8,31
2/19/2006,27.85,19.9,35.8,79,30,0,,7.31,1012,29950,11,31
2/20/2006,29.05,22.3,35.8,87,27,0,,6.68,1009,28083,10,32
2/21/2006,27.55,20.1,35,90,28,0,,5.67,1005,25576,7,31
2/22/2006,27.4,19.4,35.4,73,25,0,,6.87,1003,28324,7,31
2/23/2006,23.3,19.6,27,94,50,4.6,8.2,2.28,1003,8170,5,37
2/24/2006,18.9,15.4,22.4,94,61,0.6,9.8,3.26,1003,13482,18,34
2/25/2006,23.35,18.6,28.1,94,42,0.8,,4.66,1008,18383,14,34
2/26/2006,23.55,16,31.1,94,27,0,,5.9,1008,28672,6,29
2/27/2006,24.7,17.2,32.2,84,35,0,,5.65,1008,23091,8,31
2/28/2006,26.25,18.9,33.6,85,29,0.4,,3.96,1009,15880,11,58
3/1/2006,23.55,16.2,30.9,92,38,0,,4.38,1009,18777,8,34
3/2/2006,24.5,21.1,27.9,91,65,0.4,0.8,2.36,1010,9073,8,32
3/3/2006,24.95,19.8,30.1,95,54,2.8,32,3.25,1008,13814,9,31
3/4/2006,22.4,17.9,26.9,92,34,0,,6.57,1010,27517,18,40
3/5/2006,19.85,12.1,27.6,94,37,0,,5.11,1012,26395,6,26
3/6/2006,22.3,14.1,30.5,94,27,0,,5.19,1009,27165,4,21
3/7/2006,25.05,15.3,34.8,82,17,0,,6.5,1005,27326,6,29
3/8/2006,23,16.1,29.9,80,32,1.6,13.8,2.96,1004,11596,4,27
3/9/2006,26.9,20,33.8,87,19,0,,6.88,1006,25765,10,34
3/10/2006,21.25,13.1,29.4,81,22,0,,6.18,1013,26856,8,48
