Fecha	PrecEfec	PrecAcum
25/04/2019	18.8	23.2
24/04/2019	29.5	32.5
23/04/2019	0	0
22/04/2019	0.3	0.3
21/04/2019	0	0
20/04/2019	0	0
19/04/2019	5.5	5.5
18/04/2019	0	0
17/04/2019	0	0
16/04/2019	0	0
15/04/2019	15.9	16.1
14/04/2019	0	0
13/04/2019	0	0
12/4/2019	0	0
11/4/2019	0	0
10/4/2019	0	0
9/4/2019	0	0
8/4/2019	0	0
7/4/2019	0	0
6/4/2019	0	0
5/4/2019	0	0
4/4/2019	0	0
3/4/2019	0	0
2/4/2019	0	0
1/4/2019	0	0
31/03/2019	0.1	0.1
30/03/2019	14	14
29/03/2019	6.3	6.3
28/03/2019	0	0
27/03/2019	0	0
26/03/2019	0	0
25/03/2019	0	0
24/03/2019	0	0
23/03/2019	0	0
22/03/2019	0	0
21/03/2019	0	0
20/03/2019	0	0
19/03/2019	6	6
18/03/2019	1.2	1.2
17/03/2019	2.2	2.2
16/03/2019	4	4
15/03/2019	0	0
14/03/2019	0	0
13/03/2019	0	0
12/3/2019	0	0
11/3/2019	6.3	6.3
10/3/2019	0	0
9/3/2019	0	0
8/3/2019	0	0
7/3/2019	34.7	42
6/3/2019	0	0
5/3/2019	0	0
4/3/2019	0	0
3/3/2019	0	0
2/3/2019	0	0
1/3/2019	0	0
28/02/2019	0	0
27/02/2019	0	0
26/02/2019	0	0
25/02/2019	0	0
24/02/2019	8.3	8.3
23/02/2019	47.3	62.8
22/02/2019	0	0
21/02/2019	0	0
20/02/2019	0	0
19/02/2019	0	0
18/02/2019	0	0
17/02/2019	0	0
16/02/2019	0	0
15/02/2019	0	0
14/02/2019	0	0
13/02/2019	0	0
12/2/2019	0	0
11/2/2019	12.1	12.1
10/2/2019	0	0
9/2/2019	0	0
8/2/2019	0	0
7/2/2019	0	0
6/2/2019	0	0
5/2/2019	0	0
4/2/2019	0	0
3/2/2019	0	0
2/2/2019	3	3
1/2/2019	30.8	44
31/01/2019	12.4	12.4
30/01/2019	31.6	37.5
29/01/2019	0.1	0.1
28/01/2019	0	0
27/01/2019	0.6	0.6
26/01/2019	0	0
25/01/2019	0	0
24/01/2019	0	0
23/01/2019	37.8	46.8
22/01/2019	0	0
21/01/2019	0	0
20/01/2019	0	0
19/01/2019	0	0
18/01/2019	0	0
17/01/2019	26.1	39.1
16/01/2019	13.7	16.5
15/01/2019	19.8	24.8
14/01/2019	2.2	2.2
